,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 70,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 80,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 90,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 100
839,210.892528,2246.31754,8139154.6,287.70168,2287.1331,8220852.01,574.33248,2306.64882,8383298.17,4469.41242,2273.98384,8142769.75,41764.6456,2265.36938,8041217.78,210.89253,2246.31753,8139154.57,8139154.57,2247.1774,-4569.17872,-0.353817332,287.701681,2287.13309,8220851.99,8220851.99,2287.97634,-4391.18385,-0.341571528,574.332481,2306.64882,8383298.16,8383298.16,2307.48972,-3661.13189,-0.273741509,4469.41242,2273.98384,8142769.75,8142769.75,2274.84502,-3078.08625,-0.223456714,41764.6456,2265.36938,8041217.78,8041217.78,2266.23381,-2712.86476,-0.198220605,210.892528,0.00347668629,0.00398319615,287.70168,0.00373796989,0.00455970089,574.331972,0.00366378613,0.00460971381,4447.87219,0.00337471402,0.00390658054,41395.0015,0.00534911364,3.91227857,210.89253,2246.31753,8139154.57,8139154.57,2247.30708,-2451.22475,-0.148088571,287.701681,2287.13309,8220851.99,8220851.99,2288.10479,-2644.26395,-0.159684812,574.331972,2306.65068,8383301.65,8383301.65,2307.61398,-2552.5088,-0.153357746,4447.87219,2284.2025,8160449.59,8160449.59,2285.17517,-2207.69264,-0.13472667,41395.0011,2284.02375,8073276.57,8073276.57,2284.99648,-2182.12503,-0.133912084
462,91.0761932,2898.42065,10391278.1,155.274235,2642.35824,9696850.25,474.657996,2370.4984,8809877.14,4547.50748,2232.5498,8226459.27,41918.2509,2257.93322,8180883.89,91.0761932,2898.42065,10391278.1,10391278.1,2899.09678,-1197.85887,-0.0766644807,155.274235,2642.35824,9696850.25,9696850.25,2643.10374,-1953.9929,-0.126771792,474.657996,2370.4984,8809877.14,8809877.14,2371.32947,-2481.47967,-0.168885168,4547.50748,2232.5498,8226459.27,8226459.27,2233.42738,-2527.83209,-0.182254992,41918.2509,2257.93322,8180883.89,8180883.89,2258.8004,-2679.01668,-0.194194344,91.0761932,0.0056139088,0.00234566599,155.2742,0.00464346256,0.00220308198,474.16496,0.0036168621,0.00195868664,4477.64575,0.00329724957,0.00221588965,41377.9653,0.00427396403,1.64328688,91.0761932,2898.42065,10391278.1,10391278.1,2899.18728,2762.5307,0.149369735,155.2742,2642.3588,9696851.0,9696851.0,2643.19969,1596.9791,0.0894021532,474.16496,2372.75872,8814033.14,8814033.14,2373.6951,572.52227,0.0336235321,4477.64575,2264.12844,8288668.06,8288668.06,2265.10821,124.53584,0.00753275297,41377.9651,2284.96353,8230215.19,8230215.19,2285.85543,52.3912909,0.00334344854
325,279.59153,62.5325695,19.6903976,313.508477,62.5397624,20.0235759,649.234878,62.6405791,22.1903907,6070.49652,62.587236,23.1476763,55505.7427,62.5833231,23.248229,279.59153,62.5325695,19.6903976,9339997.74,2419.60924,-2462.67599,-0.181596155,313.508477,62.5397624,20.0235759,9300510.49,2436.24083,-2352.0049,-0.17235108,649.234878,62.6405791,22.1903907,8867998.64,2377.38192,-2514.60681,-0.179256455,6070.49652,62.587236,23.1476763,7886079.68,2287.51568,-2790.55029,-0.206540666,55505.7427,62.5833231,23.248229,7917432.97,2256.03864,-2625.68996,-0.19353357,279.59153,0.00253032549,0.00210056629,313.508477,0.00294250039,0.00243601261,649.234878,0.00279926386,0.00204821806,6070.49652,0.00243850813,0.00182677323,55505.7427,0.00588308019,6.91482339,1.91694312,62.8700167,8.98310434,9340038.48,2419.63674,54.3424633,0.0059326915,1.94930428,62.9219787,8.99391268,9301460.15,2436.70216,49.1932091,0.00537842673,1.98280754,62.9739877,8.99932336,8881096.83,2383.75418,-70.7487415,-0.0079137165,2.03627414,62.9836858,9.23624307,7912906.6,2305.4205,-25.3881183,-0.0029697153,6.68358542,62.6328341,18.5827027,7963913.14,2284.04502,-40.4843318,-0.00332789243
797,72.4695494,60.4198517,4.74238412,108.532467,61.2317026,12.8543493,402.44062,62.2646861,21.1851391,5795.94808,62.5575717,23.1115132,34815.0328,62.6176163,23.4876949,72.4695494,60.4198517,4.74238412,4846816.65,3259.29824,-474.914432,-0.0990578068,108.532467,61.2317026,12.8543493,5840267.95,3019.82365,-1609.48299,-0.185756901,402.440621,62.2646861,21.1851391,7330812.21,2575.13098,-2600.65576,-0.208684966,5795.94808,62.5575717,23.1115132,7934560.35,2280.90034,-2867.53864,-0.211754991,34815.0328,62.6176163,23.4876949,7971632.81,2236.39945,-2692.46011,-0.196768437,72.4695494,0.00844553547,0.00449299989,108.532467,0.00708651289,0.00360250726,402.44062,0.00416888485,0.00188440723,5795.94808,0.00258117129,0.11423488,34815.0328,0.025978604,46.0274264,1.00321171,60.0005959,0.00696107188,4846816.65,3259.2905,-23.7453759,-0.129274449,1.0544794,60.0365853,0.424843967,5840267.76,3019.79994,-74.7112488,-0.0474301926,2.13289716,61.1672295,12.1965826,7332248.31,2577.01105,67.4713863,0.00713480274,6.09922145,62.6815253,23.9195705,8008485.08,2325.86616,-64.5255995,-0.00466208486,11.6976916,62.6969115,24.0115473,8063131.56,2288.47457,-57.5010455,-0.00413250887
786,327.57919,62.2802566,18.7327753,386.064698,62.2802037,18.9958161,804.75793,62.269356,19.9769478,6284.95223,62.491171,22.5064784,51018.9622,62.5760406,23.2009794,327.57919,62.2802566,18.7327753,8897055.29,2479.45811,-1958.44569,-0.15170061,386.064698,62.2802037,18.9958161,8795794.73,2474.05687,-1831.33796,-0.141677856,804.75793,62.269356,19.9769478,8298486.59,2396.21864,-1926.36796,-0.149615032,6284.95223,62.491171,22.5064784,7959189.75,2284.55343,-2853.2957,-0.21318595,51018.9622,62.5760406,23.2009794,7914807.89,2243.49729,-2824.96831,-0.2084684,327.57919,0.00195287661,0.00162251153,386.064698,0.00234906149,0.00203346446,804.75793,0.00231670326,0.00192766307,6284.95223,0.00234816608,0.0015572418,51018.9622,0.00826865485,11.4640888,2.90378642,66.6963192,33.907554,8897055.29,2479.57296,-1192.34053,-0.0686481646,2.94119528,66.6844792,33.5043694,8795795.93,2474.17238,-1199.80756,-0.0698913287,2.98003021,66.6726103,33.0954454,8301215.23,2398.25117,-1229.05221,-0.0741507216,2.99798614,66.6672613,32.9096063,8005111.22,2313.79296,-1256.88987,-0.0774376558,2.99979844,66.6667261,32.8909612,7976223.44,2279.48612,-1268.30453,-0.078304479
317,862.069877,61.4115322,14.0187951,1015.02329,61.521457,14.9759938,1495.90811,61.8660145,17.8670665,6638.8285,62.451937,22.3662373,46227.8142,62.5777972,23.2350743,862.069878,61.4115322,14.0187952,8108642.18,2489.05956,-524.810429,-0.0492235626,1015.02329,61.521457,14.9759939,8133870.2,2429.8138,-538.654426,-0.0488049404,1495.90811,61.8660145,17.8670665,8025402.29,2313.44093,-879.423872,-0.0734409384,6638.8285,62.451937,22.3662373,7973430.52,2251.17954,-2508.78908,-0.187864655,46227.8142,62.5777972,23.2350743,8009067.03,2238.40735,-2719.49811,-0.199354372,862.069877,0.0004387951,9.90697065e-05,1015.02329,0.000611164277,0.000190716321,1495.90811,0.00109526323,0.000433659675,6638.8285,0.00221107817,0.00133293005,46227.8142,0.0120729892,18.8672713,4.79616193,63.8968111,30.2881438,8125246.81,2506.97878,1241.85146,0.0791616873,4.875905,63.9382191,30.3382164,8179602.24,2473.027,1388.21981,0.0881245925,4.95802472,63.9794531,30.3811842,8121762.08,2389.01614,1742.20333,0.110910167,4.99577458,63.9979475,30.3981985,8036950.2,2293.13648,2096.86111,0.134152912,4.99957718,63.9997948,30.3998207,8087089.33,2282.89441,2121.02003,0.135273628
629,209.377246,62.4085012,21.0027505,275.601377,62.6602821,22.899533,591.769054,62.8334715,24.4010612,6015.93445,62.6644487,23.7456752,22194.3016,62.6791146,23.8773134,209.377246,62.4085012,21.0027505,9790959.26,2808.61913,226.506915,0.0157954047,275.601377,62.6602821,22.899533,9837833.75,2650.90769,-619.929489,-0.0413027761,591.769054,62.8334715,24.4010612,9528484.41,2468.68918,-1990.51645,-0.130541771,6015.93445,62.6644487,23.7456752,8407611.25,2315.33434,-3227.02568,-0.228388298,22194.3016,62.6791146,23.8773134,7836886.4,2199.69277,-2473.96816,-0.180854617,209.377246,0.00205005261,0.000655470156,275.601377,0.00237860447,0.000864461816,591.769054,0.0027746967,0.00109791715,6015.93445,0.00461647214,4.29202665,22194.3016,0.0559443887,104.233193,2.19751318,63.6387979,29.251209,9794426.47,2811.32411,5172.92798,0.305615246,2.72898766,64.2278599,31.3657195,9852733.56,2659.60359,4491.0427,0.255470753,3.49652836,64.7615585,32.6360042,9565153.62,2486.24509,2920.59576,0.165301573,3.94538727,64.9770914,32.9706077,8451897.22,2339.00324,2215.06959,0.132692628,3.99449344,64.9977187,32.9971267,7979205.02,2280.50109,2430.45164,0.149785271
393,67.024436,2284.39054,5366809.87,84.0695032,2275.59671,5644780.39,297.734459,2255.69362,6840865.04,3724.7762,2254.1505,7887567.15,29843.9352,2233.68545,8001405.53,67.024436,2284.39054,5366809.87,5366809.87,2285.2593,-4737.52878,-0.402156773,84.0695032,2275.59671,5644780.39,5644780.39,2276.46348,-4393.96882,-0.371723393,297.734459,2255.69362,6840865.04,6840865.04,2256.55628,-3688.33891,-0.300369483,3724.7762,2254.1505,7887567.15,7887567.15,2255.01806,-2878.30719,-0.213477238,29843.9352,2233.68545,8001405.53,8001405.53,2234.56229,-2715.69429,-0.198714565,67.024436,0.0151882621,0.0165989723,84.0695031,0.0136753946,0.0146766991,297.7199,0.00646587073,0.0059106804,3665.564,0.00400558647,0.00367006312,29181.8692,0.0212616014,34.3935627,67.024436,2284.39054,5366809.87,5366809.87,2285.36371,-4246.88326,-0.315215463,84.0695031,2275.59671,5644780.39,5644780.39,2276.57341,-2352.37244,-0.171185262,297.7199,2255.79086,6841004.18,6841004.18,2256.77589,-1400.77629,-0.0931191702,3665.564,2287.3441,7944422.69,7944422.69,2288.31544,-2770.41753,-0.171342175,29181.8671,2279.98849,8084704.64,8084704.64,2280.96295,-2867.98988,-0.175876741
172,34.0572435,2160.18469,8063834.69,89.066292,2129.42735,8890070.64,390.352691,2181.87541,8962646.57,4082.83571,2198.67929,8329685.77,41232.7729,2228.00767,8242799.52,34.0572435,2160.18469,8063834.69,8063834.69,2161.11322,-3754.97901,-0.251685355,89.066292,2129.42735,8890070.64,8890070.64,2130.3656,-3625.16047,-0.234549336,390.352691,2181.87541,8962646.57,8962646.57,2182.78392,-3197.15315,-0.21183611,4082.83571,2198.67929,8329685.77,8329685.77,2199.57163,-2724.32668,-0.194406401,41232.7729,2228.00767,8242799.52,8242799.52,2228.88622,-2673.73423,-0.193474398,34.0515564,0.0133330252,0.00405267826,88.9601064,0.00728209167,0.00233334993,388.059332,0.00415633861,0.00139803949,3982.04663,0.00367523788,0.0015146376,40489.8969,0.00367352652,0.220974868,34.0515564,2160.50107,8064575.28,8064575.28,2161.53027,-1213.01498,-0.0730069191,88.9601064,2131.65667,8896465.41,8896465.41,2132.69944,-2026.21555,-0.117017197,388.059332,2193.32768,8993037.18,8993037.18,2194.34079,-1492.79684,-0.0864420031,3982.04663,2249.71411,8433366.46,8433366.46,2250.70101,-274.762904,-0.0164814301,40489.8969,2265.58708,8314432.7,8314432.7,2266.4955,-13.2735113,-0.000827245463
367,151.097791,62.686313,23.3545807,249.822129,62.9092269,24.931462,614.380662,63.006649,25.6618099,5476.67016,62.6548451,23.6675084,60364.329,62.5786178,23.1783304,151.097791,62.686313,23.3545807,11070244.1,2208.91417,-2202.24907,-0.136962539,249.82213,62.9092269,24.931462,10184118.7,2171.69513,-2942.749,-0.184679045,614.380663,63.006649,25.6618099,9453447.44,2197.70393,-3222.88525,-0.206921727,5476.67016,62.6548451,23.6675084,8264347.19,2245.22508,-2747.08008,-0.196422291,60364.329,62.5786178,23.1783304,8243316.11,2238.04463,-2618.81607,-0.189457999,151.097791,0.00262678043,0.000602480421,249.822129,0.0024886984,0.000779758845,614.380662,0.00271345775,0.00125154753,5476.67016,0.00267553402,0.00120372044,60364.329,0.00244244404,0.103133876,1.99700998,62.9955083,8.99997982,11595608.8,2348.23396,1956.40171,0.191509573,1.99820492,62.997305,8.99999274,10467993.6,2252.88014,1874.24651,0.19309628,1.99940128,62.9991017,8.99999919,9554871.25,2231.01226,1855.13836,0.200051886,1.99994011,62.9999102,8.99999999,8289619.93,2257.60203,1877.78027,0.217398332,1.99999401,62.999991,9.0,8298574.25,2267.36922,1886.13934,0.218248254
